Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
5,4,2,10,5395,1,1,1,1,1
4,3,2,6,5867,0,1,1,0,0
3,4,2,2,5957,4,1,1,1,0
3,1,2,27,2551,4,1,1,1,1
7,5,4,9,1329,2,1,1,1,1
6,2,2,18,3077,3,1,0,0,1
4,5,5,7,1380,0,3,0,1,0
4,1,3,8,4667,4,2,0,0,0
6,1,5,57,1784,3,1,0,0,1
4,5,2,9,5040,3,2,0,1,0
5,1,5,9,1893,3,1,1,0,0
3,3,6,26,1825,4,1,0,0,1
6,1,4,7,1260,3,3,0,0,1
6,1,6,7,4014,1,3,1,1,1
3,1,2,9,4316,3,2,1,0,0
3,3,2,5,4269,4,1,2,1,1
3,1,2,10,4598,0,1,1,0,0
5,5,3,4,4218,0,1,0,1,1
6,1,4,6,1561,1,1,0,1,0
5,1,4,6,4852,0,1,2,0,0
3,2,5,43,1027,3,3,1,1,1
6,4,6,9,5354,4,1,0,0,1
5,4,3,53,3172,1,1,0,0,1
4,4,2,6,4117,0,1,1,0,1
3,5,3,10,5663,1,1,0,0,1
4,5,5,7,1409,2,1,1,0,0
4,3,3,8,4240,2,2,1,1,1
5,1,5,10,5413,0,1,0,0,1
4,1,2,23,1689,3,1,0,0,1
3,4,4,10,4109,2,3,0,0,0
5,1,3,5,5146,0,3,0,1,1
3,1,3,60,2069,1,1,2,0,1
4,5,3,6,4449,0,3,0,0,1
3,4,2,14,2163,0,1,0,1,1
4,1,5,10,4018,3,1,0,0,1
4,2,5,7,1711,2,1,1,1,1
3,5,3,1,4432,0,1,1,0,0
4,3,5,6,4384,4,1,1,1,0
4,4,5,9,4902,0,2,0,0,1
3,2,3,9,4301,2,1,1,0,0
4,4,2,1,5320,0,1,2,0,0
4,4,2,3,5692,2,3,1,0,1
5,1,5,7,1620,3,3,0,1,1
5,4,2,8,5885,0,1,1,0,1
5,3,3,38,3669,0,1,1,1,1
3,5,3,8,5272,3,1,1,1,1
5,5,5,2,1657,0,2,0,1,0
4,2,4,8,5660,2,3,0,1,0
5,3,5,10,1170,4,1,1,1,1
5,3,5,2,1630,4,2,0,0,1
3,2,3,8,5149,4,2,0,0,1
3,4,3,1,4020,4,1,0,1,1
5,5,2,31,2000,1,2,2,0,1
3,1,4,12,2779,4,1,1,1,1
5,4,5,3,3301,2,2,0,1,1
5,1,2,4,4242,2,1,0,0,1
3,1,3,5,5898,4,2,2,1,1
4,5,2,46,3076,0,1,1,1,1
4,5,3,6,4671,4,1,1,1,1
4,2,2,4,5852,3,1,0,1,0
6,3,4,10,1798,1,1,0,1,0
4,3,6,6,1704,3,1,1,1,1
3,3,3,5,4888,2,1,0,0,1
3,2,2,1,4133,1,1,0,0,1
5,5,5,10,1719,0,1,0,0,1
3,5,2,56,3711,0,1,1,0,1
5,4,3,23,1132,0,2,1,1,1
5,4,4,57,1613,4,1,1,1,1
4,1,4,7,5459,1,2,0,0,1
5,5,2,2,4125,1,1,1,1,1
4,4,3,34,1283,3,1,2,1,1
3,2,3,25,2334,0,3,0,0,1
3,4,3,3,4811,3,1,1,0,0
3,2,7,3,5584,0,1,2,1,0
4,2,6,8,1391,2,3,0,1,1
5,1,3,1,5537,0,2,1,0,0
5,4,3,1,4181,4,1,0,0,0
3,5,3,6,5148,0,1,0,1,0
4,5,3,49,3914,3,1,0,0,1
6,4,5,58,1463,1,1,0,0,1
3,3,3,12,1900,4,2,2,1,1
4,2,4,2,5503,0,1,1,0,0
3,1,2,25,1848,0,1,0,0,1
7,1,4,2,1216,4,2,0,1,1
3,1,8,6,5023,0,1,2,1,1
4,3,2,3,4862,0,1,1,0,1
5,1,4,2,4615,0,3,1,0,0
3,4,3,56,1550,3,1,0,1,1
2,1,3,4,4512,2,1,0,1,0
6,4,4,4,1244,3,1,1,1,1
4,2,4,62,2307,4,1,0,1,1
4,4,2,21,1495,1,1,1,1,1
3,4,3,4,5368,3,3,0,0,0
5,4,4,5,1184,0,1,0,0,1
5,4,5,1,1320,0,3,1,0,0
3,3,3,4,5048,0,1,0,1,0
3,1,2,44,2651,2,1,0,0,1
3,3,2,58,3360,0,3,1,0,1
3,2,2,37,2460,0,1,1,0,1
3,3,3,6,5109,0,3,0,1,0
5,2,2,1,2775,4,2,0,0,1
4,1,3,47,3489,1,3,2,1,1
5,2,5,4,1634,3,2,1,1,0
6,3,3,56,3251,0,3,0,0,1
4,3,3,5,4712,2,1,0,0,1
6,2,4,35,1625,2,1,0,1,1
3,2,3,9,4282,3,1,1,1,0
4,2,3,12,3676,3,1,1,0,1
5,3,3,7,4462,4,3,0,1,1
4,3,3,52,1432,2,1,1,1,1
3,4,3,1,4444,4,2,1,1,1
5,2,2,10,4741,2,3,2,0,0
5,3,5,6,1192,0,1,1,0,0
4,2,3,27,1639,1,3,0,0,1
4,4,2,6,5116,0,1,0,0,0
4,4,3,1,4194,3,1,0,0,1
5,1,4,2,5496,0,1,0,1,0
4,4,3,1,4774,0,1,0,0,0
5,2,8,5,4751,4,1,1,1,0
3,2,3,48,2792,2,3,1,1,1
7,2,5,5,1614,3,1,1,1,0
4,3,2,3,5914,4,1,0,1,1
3,2,3,19,1111,2,1,0,0,1
4,4,3,5,4892,1,3,1,0,0
4,2,5,1,5012,3,3,0,0,0
4,1,4,5,5570,3,2,1,0,1
5,1,6,8,4944,4,2,2,0,1
3,4,4,54,1885,1,1,0,1,1
4,5,2,6,5920,0,1,1,1,0
2,3,3,2,5331,1,2,1,1,0
3,4,2,5,4342,3,3,1,0,1
3,2,3,1,4997,0,1,2,1,1
4,3,3,8,4391,4,1,0,1,1
4,1,3,56,1811,0,1,0,0,1
4,5,3,52,1741,2,1,0,0,1
7,3,5,4,1163,0,1,1,0,1
5,3,3,4,4195,1,1,1,0,0
5,5,4,10,5913,3,1,0,0,1
2,3,3,45,1639,3,3,0,0,1
4,3,3,45,1903,0,1,0,1,1
7,5,4,4,1139,3,1,1,1,1
6,3,4,8,1805,0,2,1,0,0
5,1,3,44,3993,2,1,1,0,1
3,1,3,1,1252,2,2,0,1,1
4,5,3,5,4913,2,3,0,1,0
4,5,3,3,1403,0,3,1,1,1
4,3,2,2,5431,4,1,0,1,0
4,3,4,1,4257,0,1,1,1,0
4,2,3,1,1182,4,1,0,1,1
3,5,2,5,4504,3,1,1,0,1
4,3,5,5,1533,3,3,0,0,1
4,1,5,10,1144,1,3,1,0,0
3,1,4,1,5761,0,1,1,0,1
3,4,3,49,3225,4,3,0,0,1
3,3,4,60,1722,0,3,0,0,1
3,2,3,5,4304,4,1,2,1,1
3,1,8,1,4122,1,3,0,0,1
4,4,2,6,5942,2,1,1,0,0
6,1,4,7,1758,1,1,0,1,0
4,4,5,2,1709,3,1,0,0,0
4,2,3,6,4963,0,3,1,1,0
4,2,6,2,1712,2,1,1,1,1
7,5,4,10,1166,0,1,0,1,1
4,2,3,4,5085,4,1,0,1,0
5,2,2,6,4120,0,2,1,0,1
3,3,4,6,4803,1,1,0,1,1
3,1,2,61,1509,4,1,1,0,1
6,3,4,8,1925,3,1,0,1,0
4,4,3,8,4715,2,1,1,1,1
6,4,4,3,4736,0,1,0,1,1
3,1,4,33,2782,0,3,0,1,1
3,4,2,7,4699,0,2,1,0,1
2,3,3,6,4444,0,1,0,1,1
6,2,4,7,1477,1,2,0,0,0
4,3,3,10,5305,2,2,1,1,0
3,3,3,64,3103,3,1,0,1,1
3,1,3,22,3266,0,1,1,1,1
4,2,2,8,4295,3,1,0,0,0
6,1,4,1,1735,4,1,0,0,1
5,5,4,9,4208,2,3,0,0,0
3,2,3,1,5343,3,2,1,1,1
4,4,3,7,5807,3,1,0,0,1
2,1,3,24,1119,0,1,1,0,1
3,1,3,4,4965,1,1,1,0,0
4,4,3,5,5399,0,1,0,0,0
3,1,2,10,4146,0,3,0,0,1
4,5,3,23,1785,1,1,1,1,1
3,2,2,1,4334,4,1,0,1,0
5,4,2,2,4753,0,2,0,1,0
4,4,2,7,4572,0,3,0,0,1
3,2,2,1,4978,2,2,1,0,0
5,3,4,7,2675,4,1,1,0,1
6,1,5,4,4887,4,3,0,1,0
3,1,3,8,5318,3,3,0,1,0
4,2,2,4,5233,0,1,2,0,1
4,1,5,9,1530,0,3,0,1,0
3,1,4,8,5376,4,1,0,0,1
5,4,2,55,2257,1,1,0,1,1
4,4,3,12,3279,1,2,0,1,1
4,4,2,4,5101,0,1,1,0,0
3,5,3,5,5206,3,3,2,0,0
4,1,2,7,5864,2,2,1,0,0
5,2,3,29,2411,4,3,1,0,1
5,4,4,1,5533,1,1,0,1,1
3,4,3,4,4628,2,3,0,1,0
3,5,4,7,4741,2,1,1,0,1
4,5,6,9,1858,2,1,0,0,0
5,2,2,63,1254,0,1,1,0,1
7,3,4,7,1915,4,2,1,0,0
4,3,4,5,5307,3,1,0,0,0
5,3,5,4,1257,0,1,1,1,1
5,4,2,10,5670,1,2,1,1,0
3,3,3,5,4664,4,3,1,0,0
6,5,5,63,2573,0,1,2,0,1
5,1,3,3,4939,1,3,0,1,1
5,3,5,9,4990,0,1,1,0,0
4,1,7,4,4476,4,1,2,1,1
5,5,5,35,2508,2,1,0,0,1
5,5,4,8,1132,0,1,0,1,1
4,2,3,3,4653,3,1,0,1,1
3,3,3,5,5981,1,3,0,0,1
3,2,3,7,4682,4,1,0,1,0
3,2,2,53,1390,1,1,1,1,1
3,1,3,61,1313,2,1,1,1,1
4,1,2,3,5877,3,1,0,0,0
5,3,2,1,4500,3,2,0,0,1
4,3,2,9,4322,4,3,1,0,1
3,2,2,2,4122,3,1,1,0,0
4,2,4,62,3198,1,1,0,0,1
5,4,4,65,1951,0,3,0,0,1
4,1,2,5,5014,3,1,1,0,1
3,1,2,25,1851,2,1,2,1,1
6,3,3,7,4829,4,3,0,0,1
3,4,2,8,4837,3,2,1,0,0
2,5,3,5,5320,0,1,0,0,0
3,5,3,9,4191,2,3,1,1,0
4,3,4,4,4102,3,1,1,1,1
5,4,2,8,4996,2,1,2,1,1
3,3,4,12,2151,0,3,0,1,1
5,2,8,62,3450,2,1,0,1,1
3,5,5,27,1581,3,3,0,1,1
6,5,4,6,1185,4,1,1,0,0
3,3,2,42,1950,2,1,0,1,1
5,2,6,5,1951,0,3,0,0,0
4,1,3,5,3100,4,3,0,1,1
4,1,3,30,2669,4,1,1,0,1
3,3,3,56,1490,3,2,0,1,1
3,3,5,10,5580,0,1,1,1,0
2,3,6,6,5341,2,2,2,0,1
5,3,3,2,4731,0,3,0,0,1
7,1,4,6,1297,0,1,1,1,1
4,3,5,3,1224,1,1,1,1,0
6,2,6,3,5967,4,3,0,1,1
4,2,3,6,5616,0,1,1,0,1
4,5,5,7,1381,4,1,1,0,0
4,4,3,10,5674,2,1,0,1,1
4,5,3,2,1693,1,2,0,0,0
3,5,3,2,5556,1,3,0,0,1
3,2,2,24,1966,3,1,0,0,1
3,3,4,10,5181,3,2,1,1,0
4,3,3,10,4020,4,1,0,1,0
3,5,2,4,4015,0,1,0,1,0
6,2,4,8,1015,1,1,0,1,0
3,2,3,44,3802,0,1,2,0,1
4,2,5,10,1744,0,1,1,1,0
4,1,3,31,1712,0,2,1,1,1
3,2,3,56,1303,4,1,0,0,1
5,1,5,3,4966,0,1,0,1,0
3,5,3,8,5877,3,1,0,1,0
2,2,6,1,4165,1,1,1,0,1
4,4,6,10,4596,4,1,1,0,1
5,4,4,38,2771,2,1,1,0,1
3,2,4,6,5761,0,2,1,1,0
4,2,3,4,5916,0,1,0,0,0
6,5,4,10,1669,4,1,0,1,0
3,4,2,12,1493,2,2,1,1,1
4,4,5,9,1716,0,1,1,0,1
7,4,4,10,1217,4,1,0,0,1
4,1,3,25,1152,4,1,0,0,1
7,1,4,9,1885,0,1,0,0,0
5,2,2,9,5530,2,3,1,0,0
4,5,2,6,4994,4,1,0,1,0
6,1,4,7,1372,0,3,0,0,1
3,5,3,45,2513,1,1,0,0,1
5,1,2,10,4108,3,1,1,0,1
3,5,2,5,4933,0,2,0,1,1
5,1,3,32,3003,3,1,1,0,1
3,1,5,1,5459,2,1,0,1,0
4,5,3,3,5824,1,1,0,0,1
6,1,2,57,3966,0,1,0,1,1
3,3,2,1,5884,3,2,0,1,1
5,3,2,3,5113,4,1,1,1,0
3,4,3,7,5013,3,1,0,1,1
4,5,3,10,5275,3,1,1,0,0
7,5,3,46,1550,1,1,0,1,1
5,1,3,43,2994,1,1,0,0,1
4,5,2,2,4978,3,1,0,1,0
4,5,3,9,1314,0,1,1,0,1
3,1,2,9,1158,1,1,0,1,1
4,3,3,4,5866,1,1,0,1,0
7,2,4,7,1176,0,1,0,0,0
6,3,4,5,1261,0,1,2,0,1
4,3,5,10,1646,4,2,1,1,1
5,2,6,2,1851,1,1,0,1,0
5,3,5,7,4157,2,1,0,1,0
3,3,3,5,4388,3,1,0,0,0
4,3,3,1,5129,0,1,1,0,1
5,4,3,1,5775,1,1,0,0,1
3,3,10,7,4273,2,1,0,0,1
3,2,3,39,1512,2,3,1,0,1
5,2,7,7,5204,4,1,0,1,0
4,3,6,10,1174,0,2,1,1,0
